电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
原始狂暴：大脚怪传奇,PatrickMagee,JayLee/PatrickMagee,CaseyGagliardi/AndrewJosephMontgomery/埃洛·卡萨多斯,恐怖,美国,英语,2018-02-27(美国),106分钟,PrimalRage,tt5688868
无眠夜,古斯塔沃·埃尔南德斯,伊格纳西奥·加西亚·库库科维奇/祖玛·福德/古斯塔沃·埃尔南德斯,贝伦·鲁埃达/艾娃·德·多米尼奇/纳塔利娅·德·莫利纳/日尔曼·帕拉西奥斯/尤金尼亚·托巴尔/胡安·曼努尔·圭雷拉/玛丽亚·扎比/玛利亚·阿尔方萨·罗索,恐怖,西班牙/阿根廷/乌拉圭,西班牙语,2018-06-15(西班牙),106分钟,鬼入梦(台)/失眠是噩耗/YouShallNotSleep,tt7158686
血宴,欧文·艾格顿,欧文·艾格顿,扎克瑞·莱维/泰特·多诺万/赛切儿·加布埃尔/IslaCervelli/雅各布·巴特朗/罗比·凯/奥利维亚·格雷斯·阿普尔盖特/BarbaraDunkelman/JulietteKida/OwenEgerton/PaulOgola/NicholasRutherford/克里斯·杜贝克/特里斯坦·里格斯,喜剧/恐怖,美国,英语,2018-03-10(西南偏南电影节)/2018-08-17(英国)/2018-08-31(美国),92分钟,血祭欧买尬(台),tt7208564
幽冥之家,AnthonyScottBurns,MattOsterman/内森·帕克,妮可拉·佩尔茨/托马斯·曼/克里斯汀·霍恩/艾莉森·海萨克/RobertB.Kennedy/约翰·拉尔斯顿/珀西·海恩斯·怀特/CarlynBurchell/卢修斯·霍约斯/尼尔·怀特利/AaronHale/凯特·莫耶,惊悚/恐怖,美国/德国/加拿大,英语,2018-07-22(幻想曲电影节)/2018-07-27(美国),90分钟,冥房(台),tt2018069
尸控警戒,CheeKeongCheung,CheeKeongCheung/SteveHorvath/MarkStrange,OrisErhuero/CarlosGallardo/MarkStrange/KatarinaLeighWaters/MartynFord/JoshuaDickinson/AkiraKoieyama,动作/恐怖,英国,英语,2018-09-28(英国),,丧尸境界(台),tt2034176
恶灵之家,奥拉弗·约翰内斯松,本·科泰/EvaKonstantopoulos,弗洛伦斯·皮尤/西莉亚·伊姆里/本·劳埃德-休斯/ScottChambers/GeorginaBevan,恐怖,美国,英语,2018-10-05(美国/英国),89分钟,Hush,tt2386237
第三只眼睛,RockySoraya,RiheamJunianti/RockySoraya/FajarUmbara,JessicaMIla/BiancaHello/DannySumargo,惊悚/恐怖,印尼Indonesia,印尼语Indonesian,2017-11-30(印尼),108分钟,ZombieX,tt6506146
末世人间道,王天尉,王天尉/吴佰营/赵飞尔,杨添明/杨明逸/张伊楠/王昱超/贾凤柱/陈芊桦/唐鑫/杨漫,动作/惊悚/恐怖,中国大陆,汉语普通话,2018-01-19(中国大陆),90分钟,LostInApocalypse,tt7611326
毁灭僵尸,霍华德·麦凯恩,德克·布莱克曼/凯文·格雷维奥斯/DaveHaddock/霍华德·麦凯恩,,恐怖,美国,,,,,tt1272888
皮附,MichaelBoucherie,MichaelBoucherie/DavidBoucherie/NigelGearing/KeithTemple,TristanBeint/AmeliaBennett/SimonRivers,惊悚/恐怖,英国,英语,2017-08-26(英国),91分钟,,tt6345080
成人婴儿的进攻,DominicBrunt,JoanneMitchell/PaulShrimpton,KurtisLowe/AndrewDunn/莎莉·德克斯特,喜剧/恐怖,英国,英语,2017-08-26(英国),80分钟,AdultBabies,tt5871318
