电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
蝎子王5:灵魂之书,唐·迈克尔·保罗,"DavidAltonHedges,FrankDeJohn",ZachMcGowan/NathanJones/PeterMensah/MaylingNg,动作/冒险,美国,英语,2018-10-23(美国),102分钟,蝎子王5,tt7338690
反恐特警组：潜龙突围,托尼·基格里奥,JonasBarnes/KeithDomingue,山姆·贾格/阿德琳妮·帕里奇/迈克尔·加·怀特/帕斯卡尔·休顿/泰·奥尔森/莫妮卡·甘德顿/凯拉·扎戈尔斯基/郑启蕙/马修·马斯登/麦克·多普德/玛茜·T·豪斯/扎夫·帕鲁,动作,美国,英语,2017-08-01(美国),89分钟,反恐特警組：十萬火急（台）,tt6014472
达克,朱利叶斯·R·纳索,托尼·希纳/丹尼斯·文特,托尼·希纳/阿曼德·阿山特/椎名桔平/渡边哲/薇恩娜·赫海尔/生岛翔/道恩·奥利弗瑞/史蒂芬·常/西蒙·钱/莉莲·林,动作/惊悚,美国,英语,2018-05-01(美国),97分钟,,tt4594836
同族,乔纳森·贝克/乔西·贝克,乔纳森·贝克/乔西·贝克/丹·凯西,詹姆斯·弗兰科/佐伊·克罗维兹/丹尼斯·奎德/凯莉·库恩/杰克·莱诺/马克·奥布莱恩/伊恩·马休斯/肖恩·J·汉密尔顿/高莉莉/乔纳森·切里/罗曼诺·欧萨里/迈尔斯·特鲁伊特/布里·沃西伦科/加万·福克斯,动作/科幻/惊悚,美国,英语,2018-08-31(美国),102分钟,天煞重炮(港)/家族/亲戚,tt6017942
霹雳奇幻 生死一剑,虚渊玄/黄强华/郑保品,虚渊玄/江波光则,鸟海浩辅/诹访部顺一/桧山修之/千叶一伸/安元洋贵/大川透/户松遥/小山力也/佐佐木义人/拜真之介/福西胜也/巴多利胜悟/西川贵教/鹤冈聪/黄文择/新垣樽助/高垣彩阳/速水奖/小西克幸/黄汇峰,动作/动画/奇幻/武侠,日本/台湾,日语/闽南语,2017-12-02(日本)/2017-12-08(台湾),75分钟,霹雳幻想生死一剑/ThunderboltFantasy东离剑游纪外传/ThunderboltFantasy:TheSwordofLifeandDeath,tt7735462
保镖,朱利安·勒克莱克,耶利米·古埃兹,尚格·云顿/斯维娃·阿维蒂/塞米·鲍亚吉拉/萨姆·卢维克/卡里斯/凯文·让森斯/爱丽丝·维赫塞/克里斯蒂安·布朗查特,动作/惊悚/犯罪,法国/比利时/英属维尔京群岛,法语/英语,2018-08-22(法国),94分钟,TheBouncer,tt7816392
硬核风暴,基翁尼·韦克斯曼,基翁尼·韦克斯曼/托马斯·丘吉尔,迈克尔·加·怀特/鲁克·高斯/兰迪·库卓/奥维度·尼库勒斯库/伊莱亚斯·费金/MadalinaAnea/GrantCampbell/GeorgeRemes/AndreeaDiac/MichaelaHolla/BogdanFarcas/DanCade,动作/犯罪,美国,英语,2019-03-05(美国),92分钟,铁血寻仇,tt9815714
暴力行为,BrettDonowho,NicolasAaronMezzanatto,科尔·豪瑟/布鲁斯·威利斯/肖恩·阿什莫/艾什顿·霍尔姆斯/梅丽莎·博洛纳/肖恩·布鲁斯南/索菲亚·布什/迈克·艾普斯/蒂凡尼·布劳威尔/珍娜.B.凯利/帕特里克·圣埃斯普利特/博伊德·肯斯特纳/大卫·维格,动作/犯罪,加拿大,英语,2018-01-12(美国),86分钟,暴力行径,tt6684714
哥斯拉：怪兽行星,静野孔文/濑下宽之,虚渊玄,梶裕贵/诹访部顺一/花泽香菜/樱井孝宏/杉田智和/小野大辅/中井和哉/堀内贤雄/三宅健太/山路和弘/宫野真守,动作/科幻/动画,日本,日语,2018-09-21(中国大陆)/2017-11-17(日本),89分钟,哥斯拉：怪兽惑星(港)/哥斯拉：怪兽星球/GODZILLA第一章/Godzilla:PlanetoftheMonsters/Godzilla:MonsterPlanet,tt5979874
复仇行动,艾萨克·佛罗伦汀,马特·韦纳,安东尼奥·班德拉斯/克里斯蒂娜·塞拉菲尼/卡尔·厄本/罗伯特·福斯特/帕斯·贝加/马克·史密斯/克林特·戴尔/艾萨克·佛罗伦汀/莱乔·瓦斯列夫/阿塔纳斯·斯雷布雷夫/格雷丝·万/大卫·樱井,剧情/动作,保加利亚/美国,英语,2017-10-27(美国),87分钟,Stoic,tt6288694
