,电影,类型,导演,主演
64,“吃吃”的爱,喜剧/爱情/奇幻,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦
65,巨额来电,剧情/犯罪,彭顺,陈学冬/张孝全/桂纶镁/蒋梦婕/姜超/张兆辉/陈欣健/何华超/雪村/谭凯
66,阿拉姜色,剧情/家庭,松太加,容中尔甲/尼玛颂宋/赛却加
67,机器之血,剧情/动作/科幻,张立嘉,成龙/罗志祥/欧阳娜娜/夏侯云姗/卡兰·马尔韦/泰丝·哈乌布里奇/吉娜·卡拉诺
68,武林怪兽,喜剧/奇幻/武侠,刘伟强,古天乐/陈学冬/郭碧婷/包贝尔/王太利/周冬雨/吴樾/潘斌龙/孔连顺/刘浩/梁大维/许君聪/方中信/何润东/薛凯琪/颖儿/李灿森/卢惠光
69,空天猎,剧情/动作/战争,李晨,李晨/范冰冰/王千源/李佳航/赵达/李晨浩/郭洺宇/叶浏/陆思宇/托马尔·奥兹/吴秀波/邓超/王学圻
70,西小河的夏天,剧情/家庭,周全,张颂文/谭卓/顾宝明/董晴/荣梓杉
71,海吉拉,剧情/爱情,蔡宓洁,许光汉/姚爱宁/林意箴
72,非分熟女,剧情/情色,曾翠珊,蔡卓妍/吴慷仁/吴浩康/叶童/刘永/林德信/谈善言/何彦桦/太保/岑珈其/郭奕芯/张国强
73,家和万事惊,喜剧/家庭,邱礼涛,吴镇宇/古天乐/袁咏仪/张达明/吴肇轩/蔡颂思/黄秋生/林雪/郑丹瑞/卢海鹏/雷琛瑜/江美仪/麦长青/阮文泰/孔令令/梁山山/杨玉梅/谷德昭/利颖怡/李灿森/马蹄露/黄文慧/泰臣/胡枫/苑琼丹/杨诗敏/乔宝宝/庄思敏/王俊棠/刘浩龙/林子聪/陆永/郑诗君/余子明/徐浩昌/安德尊/杨偲泳/罗家英/郑欣宜/麦玲玲
74,中国合伙人2,剧情,刘亚当,赵立新/凌潇肃/王嘉/董琦/马梦唯/寇世勋/王劲松/多布杰/杨轶/王蔚/贺宽/海一天
75,毒。诫,剧情/动作/犯罪,刘国昌,刘青云/林家栋/古天乐/张晋/江一燕/谭耀文/吴孟达/陈观泰/卢海鹏/楼南光/欧锦棠/林国斌/尹扬明/苗可秀/庄思敏/张建声
76,东北插班生,喜剧/动作,姜秉辰,史元庭/陈世承/范少勋
77,引爆者,动作/犯罪,常征,段奕宏/余男/王景春/成泰燊/余皑磊/郑楚一/陆彭
78,追捕,剧情/动作/悬疑,吴宇森,张涵予/福山雅治/戚薇/河智苑/国村隼/竹中直人/仓田保昭/斋藤工/吴飞霞/樱庭奈奈美/池内博之/冈本多绪/德永邦治/矢岛健一/田中圭/中村让/吉泽悠
