电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
魔发奇缘,内森·格雷诺/拜伦·霍华德,雅各布·格林/威廉·格林/丹·福格尔曼,曼迪·摩尔/扎克瑞·莱维/唐纳·墨菲/朗·普尔曼/迈克·康纳·盖尼/杰弗里·塔伯/布拉德·加内特/保罗·F·汤普金斯/理查德·基尔/德莱尼·罗斯·斯坦/内森·格雷诺/拜伦·霍华德/蒂姆·梅尔滕斯,喜剧/动画/冒险,美国,英语,2010-11-24(美国)/2011-02-03(台湾),100分钟,长发公主/长发姑娘/莴苣公主/缠结,tt0398286
傲慢与偏见,乔·赖特,简·奥斯汀/黛博拉·莫盖茨,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯/佩内洛普·威尔顿/塔姆金·莫钦特,剧情/爱情,法国/英国/美国,英语,2005-09-16(英国),129分钟/135分钟(加拿大),傲慢与偏见2005/PrideAndPrejudice,tt0414387
非常主播,姜炯哲,姜炯哲,车太贤/朴宝英/王晳铉/宋河波/黄雨瑟惠,剧情/喜剧/音乐,韩国,韩语,2009-10-09(中国大陆)/2008-12-03(韩国),108分钟,急速丑闻(台)/极速绯闻(港)/超速绯闻/过速绯闻/ScandalMakers/SpeedingScandal,tt1360795
中国合伙人,陈可辛,周智勇/张冀/林爱华,黄晓明/邓超/佟大为/杜鹃/王真儿/乔治·安东/杨晨/张籽沐/雷昊汶/佟磊/刘天佐/ClaireQuirk/DanielBerkey/公翠英/于膨玮/冯仑/宇轩/胡明杨/柏明/唐晓峰/凯特琳·菲茨杰拉德/杨轶/吴越坤/张跃德/毛大庆/田朴珺/JohnTaylor/闫锐/BarbaraMalley/TraceyIlgner/CatherineGibson/AnthonySantoro/艾梓童/黄卫/黄天齐/康晟闻/雷瑷嘉,剧情,中国大陆/香港,英语/汉语普通话,2013-05-17(中国大陆)/2013-05-30(香港),112分钟,海阔天空(台)/三个中国先生/中国先生/AmericanDreamsinChina,tt2278392
勇士,加文·欧康诺,加文·欧康诺/安东尼·塔姆巴基斯,汤姆·哈迪/乔尔·埃哲顿/尼克·诺特/詹妮弗·莫里森/弗兰克·格里罗/凯文·杜恩,剧情/家庭/运动,美国,英语,2011-09-09(美国),140分钟,勇者无敌(台)/钢铁斗士(港)/武士/拳击勇士,tt1291584
河童之夏,原惠一,原惠一/木暮正夫,富泽风斗/横川贵大/田中直树/西田尚美/松元环季/植松夏希/羽佐间道夫/藤本让/富田耕生/一城美由希/岩田安生/稻叶实/定冈小百合/西川宏美/濑那步美/平野正人/泷本富士子/井上里花/成田剑/木村雅史/大川透/太田真一郎/田中一成/野上尤加奈/新千惠子/北村允志/河野裕/纳谷六朗/玄田哲章/乡里大辅/佐佐木敏/藤原启治/矢岛晶子/优希比吕/子安武人/阪口大助/大西健晴/川中子雅人/山中真寻/岛香裕/中村千绘/永岛由子/宮本侑芽/安达直人/松冈和晖/吉武怜朗/村上想太/池田恭祐/日高里菜/吉原沙希/枚田菜菜子/泷原祐太/安原义人/柳乐健一/照屋年之,喜剧/动画/奇幻,日本,日语,2007-07-28(日本),138分钟/142分钟(加长版),Kappanokutonatsuyasumi/SummerDayswithCoo,tt1179773
玉子爱情故事,山田尚子,吉田玲子,洲崎绫/田丸笃志/金子有希/长妻树里/山下百合惠/日高里菜/藤原启治/日笠阳子/西村知道/立木文彦/雪野五月/辻谷耕史/津久井教生/岩男润子/渡边久美子/家中宏/成田剑/小野大辅/川原庆久/山下大辉/藤村鼓乃美/照井春佳/升望/山崎巧/山冈百合/下野纮,喜剧/爱情/动画,日本,日语,2014-04-26(日本),83分钟,玉子市场剧场版/TamakoLoveStory,tt3413018
麦兜故事,袁建滔,谢立文/麦家碧,李晋纬/林海峰/吴君如/黄秋生/BuxxBanner,剧情/喜剧/动画,香港,粤语,2001-12-15,Japan:75分钟/Argentina:75分钟(BuenosAiresFestivalInternacionaldeCineIndependiente),麦兜的故事/MyLifeasMcDull,tt0312941
八月迷情,科斯汀·谢里丹,尼克·卡斯特尔/詹姆士·V·哈特/保罗·卡斯特罗,乔纳森·莱斯·梅耶斯/弗莱迪·海默/罗宾·威廉姆斯/凯丽·拉塞尔/泰伦斯·霍华德,剧情/爱情/音乐,美国,英语,2009-01-23(中国大陆)/2007-11-21(美国),114分钟/100分钟(以色列),把爱找回来(台)/流浪乐手/八月狂奔/声梦奇缘,tt0426931
可爱的你,关信辉,关信辉/张佩琼,杨千嬅/古天乐/王诗雅/傅舜盈/陈丽儿/李咏珊/何涴潆/吴耀汉/吴浣仪/姜皓文/刘玉翠/狄哲龙/利绵娜/冯淬帆/马浴柯/火火/黄文慧,剧情,香港/中国大陆,汉语普通话/粤语,2015-03-20(中国大陆)/2015-03-19(香港)/2015-04-02(台湾),113分钟,五个小孩的校长/5个小孩的校长/LittleBigMaster,tt4319698
妈妈咪鸭,赵锐/克里斯托弗·詹金斯,丁丁/包欧/吴亦欢/克里斯托弗·詹金斯/罗布·缪尔,赵路/武皓栋/殷筱瑜/金蝉妃/童自荣/吴磊/赵乾景/李传缨/姜玉玲/曹真/王肖兵,喜剧/动画/家庭/冒险,中国大陆/美国,汉语普通话/英语,2018-03-09(中国大陆)/2018-08-24(美国),90分钟,DuckDuckGoose,tt4940416
男与女,李胤基,申恩庆/李胤基,孔侑/全度妍/李美素/朴秉恩/朴敏智/尹世雅/维拉·W·维洛/马尔科·维尔斯克曼/卡蒂·奥廷宁,剧情/爱情,韩国,韩语,2016-02-25(韩国),115分钟,雪国恋人(港)/关不住的诱惑(台)/男和女/AManandAWoman,tt5700648
