电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
刺猬的优雅,莫娜·阿查切,莫娜·阿查切/妙莉叶·芭贝里MurielBarbery,若西安·巴拉斯科/佳朗丝·勒·吉耶米克/伊川东吾/安妮·波诺什/阿丽亚娜·阿斯卡里德,剧情,法国/意大利,法语/日语,2009-07-03(法国),100分钟,刺猬优雅/TheHedgehog,tt1442519,
兵临城下,让-雅克·阿诺,让-雅克·阿诺/AlainGodard,裘德·洛/艾德·哈里斯/蕾切尔·薇兹/约瑟夫·费因斯/鲍勃·霍斯金斯/朗·普尔曼,剧情/历史/战争,美国/德国/英国/爱尔兰,英语/德语/俄语,2001-03-16,131分钟,决战中的较量/大敌当前/敌对边缘,tt0215750,
独立日,罗兰·艾默里奇,罗兰·艾默里奇/迪安·德夫林,威尔·史密斯/比尔·普尔曼/杰夫·高布伦/玛丽·麦克唐纳/贾德·赫希/罗伯特·劳吉亚/兰迪·奎德/玛格丽特·柯林/薇薇卡·福克斯/詹姆斯·瑞布霍恩/哈维·费斯特恩/亚当·鲍德温/布伦特·斯皮内/詹姆斯·杜瓦尔/莉萨·雅克布/杰赛普·安德鲁斯/罗斯·巴格利/比尔·斯米托洛维奇/梅·惠特曼/小哈里·康尼克/绮尔斯腾·瓦伦/约翰·斯托里/弗兰克·诺瓦克/德文·古梅尔萨尔/吉姆·皮多克,动作/科幻/冒险/灾难,美国,英语,1996-07-02(加拿大)/1996-07-03(美国),145分钟/154分钟(特别版),ID4星际终结者(台)/天煞-地球反击战(港)/地球捍卫战,tt0116629,
黄海,罗泓轸,罗泓轸,河正宇/金允石/郑满植/李哲民/李艾,剧情/动作/犯罪,韩国/美国/香港,韩语/汉语普通话,2010-12-22(韩国),157分钟(韩国)/141分钟(导演剪辑版),追击者2之黄海杀机(港)/黄海追缉(台)/TheMurderer/TheYellowSea/Hwanghae/TheKiller,tt1230385,
华尔街之狼,马丁·斯科塞斯,特伦斯·温特/乔丹·贝尔福特,莱昂纳多·迪卡普里奥/乔纳·希尔/玛格特·罗比/马修·麦康纳/凯尔·钱德勒/罗伯·莱纳/乔·博恩瑟/让·杜雅尔丹/克里斯汀·米利欧缇/卡塔莉娜·凯斯,剧情/喜剧/传记/犯罪,美国,英语/法语,2013-12-17(纽约首映)/2013-12-25(美国),180分钟,华尔街狼人(港),tt0993846,
乱,黑泽明,黑泽明/小国英雄/井手雅人/莎士比亚,仲代达矢/寺尾聪/根津甚八/隆大介/野村万斋,剧情/动作/战争,日本/法国,日语,1985-06-01(日本),162分钟,乱日本战国时代/Revolt/Ran,tt0089881,
失恋33天,滕华涛,鲍鲸鲸,白百何/文章/张嘉译/王耀庆/张子萱/郭京飞/曹翠芬/魏宗万/海清/廖凡/徐梵溪/李念/焦俊艳/艾如/叶一云/赵毅/姚笛/李晨/马伊琍/陈羽凡/张歆艺/张默/刘天佐/李晓峰,剧情/爱情,中国大陆,汉语普通话,2011-11-08(中国大陆),110分钟/144分钟(加长版),黄了一个来月(豆友译名)/LoveisNotBlind,tt2115388,电影《失恋33天》
逃离德黑兰,本·阿弗莱克,克里斯·特里奥/约书亚·比尔曼/托尼·门德兹,本·阿弗莱克/布莱恩·科兰斯顿/凯尔·钱德勒/约翰·古德曼/克里·杜瓦尔/艾伦·阿金/罗利·科奇瑞恩/克里斯托弗·邓汉/维克多·加博/凯瑞·碧许/泰特·多诺万/克里斯·梅西纳,剧情/惊悚/历史,美国,英语/波斯语/阿拉伯语,2012-08-31(特柳赖德电影节)/2012-10-12(美国),120分钟/129分钟(加长版),ARGO-救参任务(港)/亚果出任务(台)/逃离伊朗,tt1024648,
莫娣,艾斯林·沃什,谢丽·怀特,莎莉·霍金斯/伊桑·霍克/卡瑞·玛切特/加布里埃尔·罗斯/扎卡里·贝内特/比利·麦克莱伦/劳伦斯·巴里/格雷戈·马龙/玛丝·伯纳德/大卫·菲恩/凯特·罗斯,剧情/爱情/传记,爱尔兰/加拿大,英语,2016-09-02(特柳赖德电影节)/2017-08-04(爱尔兰),115分钟,彩绘心天地(台)/茉迪的彩色小屋(台)/莫迪,tt3721954,
暖暖内含光,米歇尔·贡德里,查理·考夫曼/米歇尔·贡德里/皮埃尔·比斯毛特,金·凯瑞/凯特·温丝莱特/伊莱贾·伍德/克斯汀·邓斯特/汤姆斯·杰·瑞恩/马克·鲁弗洛/简·亚当斯/大卫·克罗斯/汤姆·威尔金森/AmirAliSaid/BrianPrice/波琳·里特,剧情/爱情/奇幻,美国,英语,2004-03-19(美国),108分钟,暧暧内含光/美丽心灵的永恒阳光/纯洁心灵的永恒阳光/无瑕心灵的永恒阳光/无痛失恋(港)/王牌冤家(台)/灵光乍现/忘记你我做不到(豆友译名),tt0338013,
无间道3：终极无间,刘伟强/麦兆辉,麦兆辉/庄文强,梁朝伟/刘德华/黎明/陈道明/陈慧琳/黄秋生/曾志伟/杜汶泽/郑秀文/刘嘉玲/林家栋/陈冠希/余文乐/尹扬明,剧情/动作/惊悚/犯罪,中国大陆/香港,汉语普通话/粤语,2003-12-12(中国大陆/香港/台湾),107分钟(公映版)/118分钟,InfernalAffairs3:EndInferno,tt0374339,
驯龙高手2,迪恩·德布洛斯,迪恩·德布洛斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/凯特·布兰切特/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/杰曼·翰苏/基特·哈灵顿/基隆·埃利奥特/菲利普·麦格雷德/安德鲁·埃布尔森/吉迪恩·埃默里/西蒙·卡斯安德斯/兰迪·汤姆,动画/奇幻/冒险,美国,英语,2014-08-14(中国大陆)/2014-05-16(戛纳电影节)/2014-06-13(美国),102分钟,驯龙记2(港),tt1646971,
角斗士,雷德利·斯科特,大卫·弗兰佐尼/约翰·洛根/威廉姆·尼克尔森,罗素·克劳/杰昆·菲尼克斯/康妮·尼尔森/奥列佛·里德/理查德·哈里斯/德里克·雅各比/杰曼·翰苏/大卫·斯科菲尔德/约翰·斯拉普内尔/托马斯·阿拉纳/拉尔夫·莫勒/斯宾塞·崔特·克拉克/戴维·海明斯/汤米·弗拉纳根/史文-欧尔·托尔森/欧米德·吉亚李利/ChrisKell/托尼·库兰/大卫·拜利/AlAshton/RayCalleja/詹妮娜·法西奥/乔治·坎塔里尼/阿兰·柯德勒/MichaelMellinger/亚当·利维/吉力·吉尔克里斯特/KjeldGogosha-Clark/尼克·梅因/若昂·科斯塔·梅内塞斯/迈克·米切尔/NormanCampbellRees/布瑞恩·斯米吉,剧情/动作/冒险,美国/英国,英语,2000-05-05(美国),155分钟/171分钟(加长版),帝国骄雄(港)/神鬼战士(台)/鬼神战士,tt0172495,
归来,张艺谋,邹静之,陈道明/巩俐/张慧雯/郭涛/刘佩琦/祖峰/闫妮/辛柏青/张嘉译/陈小艺/丁嘉丽,剧情/爱情/历史,中国大陆,汉语普通话,2014-05-16(中国大陆)/2014-05-20(戛纳电影节),111分钟,陆犯焉识/ComingHome,tt3125472,归来
变形金刚2,迈克尔·贝,伊伦·克鲁格/罗伯托·奥奇/艾里克斯·库兹曼,希亚·拉博夫/梅根·福克斯/乔什·杜哈明/雨果·维文/伊莎贝尔·卢卡斯/约翰·特托罗,动作/科幻,美国,英语/西班牙语/阿拉伯语,2009-06-24(中国大陆/美国)/2009-06-19(英国),150分钟,变形金刚2：堕落者的复仇/变形金刚狂派再起(港)/变形金刚2：复仇之战(台)/变形金刚2：卷土重来/变形金刚2：狂派的反击,tt1055369,
鹿鼎记,王晶,王晶,周星驰/吴孟达/张敏/吴君如/邱淑贞/刘松仁/陈百祥/袁洁莹/温兆伦/徐锦江/陈德容,喜剧/动作/武侠/古装,香港,粤语,1992-07-30(香港),110分钟,RoyalTramp,tt0104770,
我是谁：没有绝对安全的系统,巴伦·博·欧达尔,巴伦·博·欧达尔/扬特耶·弗里泽,汤姆·希林/埃利亚斯·穆巴里克/沃坦·维尔克·默林/汉娜·赫茨施普龙/崔娜·蒂虹/李奥那多·卡劳/小安托万·莫诺特/利奥波德·霍尔农/卡塔琳娜·马茨/阿尔恩特·施韦林·索瑞,悬疑/惊悚/犯罪,德国,德语/英语,2014-09-25(德国),102分钟,WhoAmI-NoSystemIsSafe/WhoAmI,tt3042408,
一级恐惧,格里高利·霍布里特,斯蒂夫·沙甘/安·白德曼,理查·基尔/劳拉·琳妮/约翰·马奥尼/阿尔法·伍达德/弗兰西斯·麦克多蒙德/爱德华·诺顿/特瑞·欧奎恩/安德鲁·布劳尔/斯蒂文·鲍尔/乔·斯帕诺/托尼·普拉纳/斯坦利·安德森/毛拉·蒂尔内/乔恩·塞达/瑞格·罗杰斯,剧情/悬疑/犯罪,美国,英语/西班牙语,1996-04-03(美国),129分钟,惊悚/致命内情,tt0117381,
为奴十二年,史蒂夫·麦奎因,约翰·里德利/所罗门·诺萨普,切瓦特·埃加福特/迈克尔·法斯宾德/本尼迪克特·康伯巴奇/拜伦·巴特/保罗·达诺/保罗·吉亚玛提/露皮塔·尼永奥/莎拉·保罗森/布拉德·皮特/阿尔法·伍达德,剧情/传记/历史,美国/英国,英语,2013-11-08(美国),134分钟,被夺走的12年(港)/自由之心(台)/为奴十二载/黑奴十二年/TwelveYearsaSlave,tt2024544,
偷自行车的人,维托里奥·德·西卡,阿道夫·弗兰奇/切萨雷·扎瓦蒂尼/杰拉尔多·圭列里/苏索·切基·达米科/维托里奥·德·西卡/奥雷斯特·比安科利,兰贝托·马乔拉尼/恩佐·斯泰奥拉/莉安拉·卡雷尔/吉诺·萨尔塔梅伦达/维托里奥·安东努奇,剧情/犯罪,意大利,意大利语,1948-11-24,89分钟/80分钟(DVD),单车失窃记/单车窃贼/TheBicycleThieves,tt0040522,
逃学威龙,陈嘉上,陈嘉上/黄炳耀,周星驰/张敏/吴孟达/张耀扬/黄一山/秦沛/苑琼丹/陈国新,喜剧/动作/爱情,香港,粤语,1991-07-18(香港),100分钟,FightBacktoSchool,tt0103045,
最佳出价,朱塞佩·托纳多雷,朱塞佩·托纳多雷,杰弗里·拉什/吉姆·斯特吉斯/西尔维娅·侯克斯/唐纳德·萨瑟兰/菲利普·杰克森/德尔莫特·克劳利/基努娜·斯塔梅尔/莉亚·科贝德/肖恩·布坎纳,剧情/爱情/悬疑,意大利,英语,2013-01-01(意大利),131分钟,寂寞拍卖师(台)/最佳买卖/TheBestOffer,tt1924396,
叶问,叶伟信,黄子桓/陈大利,甄子丹/任达华/熊黛林/池内博之/林家栋/樊少皇/释彦能/黄又南/杜宇航,剧情/动作/传记/历史,香港/中国大陆,粤语/汉语普通话/日语,2008-12-12(中国大陆)/2008-12-19(香港),106分钟,一代宗师·叶问/YipMan/IpMan,tt1220719,
魔兽,邓肯·琼斯,邓肯·琼斯/查尔斯·里维特,崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿/吴彦祖/本·福斯特/多米尼克·库珀/鲁丝·内伽/克兰西·布朗/丹尼尔·库德摩尔/罗伯特·卡辛斯基/本·施耐泽/格伦·克洛斯/考乐姆·吉斯·雷尼/泰瑞·诺塔里/瑞安·罗宾斯/博尔克利·杜菲尔德/丹·佩恩/迪伦·肖明/唐尼·麦克尼尔/迈克·安东纳科斯/拉吉·拉尔,动作/奇幻/冒险,美国/中国大陆/加拿大/日本,英语,2016-06-08(中国大陆)/2016-05-24(巴黎首映)/2016-06-10(美国),124分钟,魔兽：崛起(台)/魔兽争霸：战雄崛起(港)/魔兽争霸/魔兽世界/WorldofWarcraft/Warcraft:TheBeginning,tt0803096,走进《魔兽》世界的大门
哪啊哪啊神去村,矢口史靖,矢口史靖/三浦紫苑,染谷将太/长泽雅美/伊藤英明/西田尚美/槙田雄司/优香/近藤芳正/光石研/柄本明,剧情/喜剧,日本,日语,2014-05-10(日本),116分钟,哪啊哪啊～神去村(台)/恋上春树(港)/悠哉神去村/WOODJOB！哪啊哪啊神去村/神去村日常,tt2964120,
武状元苏乞儿,陈嘉上,陈建忠/陈嘉上,周星驰/张敏/吴孟达/徐少强/林威/陈百祥/郑丹瑞/苑琼丹/陈慧仪,喜剧/动作/武侠/古装,香港,粤语,1992-12-17(香港),96分钟(台湾)/101分钟(香港)/93分钟(英国),KingofBeggars,tt0100963,
狼的孩子雨和雪,细田守,奥寺佐渡子/细田守,宫崎葵/大泽隆夫/黑木华/西井幸人/大野百花/加部亚门/平冈拓真/林原惠美/中村正/大木民夫/片冈富枝/小林隆/井上肇/染谷将太/桝太一/碓井将大/多田野曜平/桥本一郎/池上幸平/竹内太郎/津田英三/今井麻美/德本英一郎/上白石萌音/荒川知佳/小林里乃/春名风花/佐藤瑠生亮/田中奏生/小西舞优/谷村美月/麻生久美子/菅原文太,剧情/动画/家庭/奇幻,日本,日语,2012-07-21(日本),117分钟,狼之子雨与雪/Okamikodomonoametoyuki/TheWolfChildrenAmeandYuki,tt2140203,
后会无期,韩寒,韩寒,冯绍峰/陈柏霖/钟汉良/王珞丹/袁泉/陈乔恩/贾樟柯/白客/孔连顺/高华阳,剧情,中国大陆,汉语普通话/手语/粤语,2014-07-24(中国大陆),104分钟,TheContinent,tt3896016,
冰川时代2：融冰之灾,卡洛斯·沙尔丹哈,彼得·高尔克/格里·斯沃洛/吉姆·赫克特,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/西恩·威廉·斯科特/乔希·佩克/奎恩·拉提法/威尔·阿奈特/杰·雷诺/克里斯·韦奇/彼得·阿克曼/约瑟夫·博洛尼亚/彼得·德塞夫,喜剧/动画/冒险,美国,英语,2006-06-09(中国大陆)/2014-10-13(中国大陆3D)/2006-03-31(美国),91分钟,冰川时代2/冰河世纪2：消融/冰原历险记2/IceAge2,tt0438097,《冰川时代2：融冰之灾》官方小站
蓝宇,关锦鹏,魏绍恩,胡军/刘烨/苏瑾/李华彤/卢芳/张永宁/李爽/李滨/张少华/赵敏芬,剧情/爱情/同性,中国大陆/香港,汉语普通话,2001-11-22(香港),86分钟(香港)/97分钟(DVD版),Histoired'hommesàPékin/LanYu,tt0292066,
英雄本色2,吴宇森,徐克/吴宇森,狄龙/张国荣/周润发/石天/关山/朱宝意/曾江/成奎安/吴孟达/王正方,剧情/动作/犯罪,香港,粤语/汉语普通话/英语,1987-12-17(香港),105分钟,英雄本色续集/英雄本色II/ABetterTomorrowII/YinghungbunsikII,tt0094357,
夜访吸血鬼,尼尔·乔丹,安妮·莱斯,布拉德·皮特/汤姆·克鲁斯/克斯汀·邓斯特/克里斯蒂安·史莱特/坦迪·牛顿/安东尼奥·班德拉斯/海伦·麦克洛瑞/罗格·洛伊德-派克/斯蒂芬·瑞/马塞尔·尤勒斯/贝利纳·洛根/苏珊·林奇/安德鲁·蒂曼/约翰·麦康奈尔/洛尔·玛尔萨克/多美兹亚娜·佐丹奴,剧情/惊悚/奇幻,美国,英语,1994-11-11,123分钟,吸血迷情,tt0110148,
我，机器人,亚历克斯·普罗亚斯,JeffVintar/阿齐瓦·高斯曼/艾萨克·阿西莫夫,威尔·史密斯/布丽姬·穆娜/艾伦·图代克/布鲁斯·格林伍德/AdrianRicard/齐·麦克布赖德/杰瑞·瓦塞尔曼/FionaHogan/PeterShinkoda,动作/科幻/悬疑/惊悚,美国/德国,英语,2004-07-16(美国),115分钟,智能叛变(港)/机械公敌(台),tt0343818,
山河故人,贾樟柯,贾樟柯,赵涛/张译/梁景东/董子健/张艾嘉/荣梓杉/梁永浩/刘陆/原文倩,剧情/家庭,中国大陆/法国/日本,英语/山西话/汉语普通话/上海话,2015-10-30(中国大陆)/2015-05-20(戛纳电影节),126分钟(中国大陆)/131分钟(法国),山河恋人/MountainsMayDepart,tt3740778,
异形,雷德利·斯科特,丹·欧班农/罗纳德·舒塞特,西格妮·韦弗/汤姆·斯凯里特/维罗尼卡·卡维特/哈利·戴恩·斯坦通/约翰·赫特/伊安·霍姆/亚非特·科托/博拉吉·巴迪乔/海伦·霍顿,科幻/恐怖,英国/美国,英语/西班牙语,1979-05-25(美国),117分钟/116分钟(2004年导演剪辑版),异形杀手/StarBeast,tt0078748,
X战警,布莱恩·辛格,大卫·海特,休·杰克曼/帕特里克·斯图尔特/伊恩·麦克莱恩/法米克·詹森/詹姆斯·麦斯登/哈莉·贝瑞/安娜·帕奎因/雷·帕克/丽贝卡·罗梅恩/布鲁斯·戴维森,动作/科幻,美国/加拿大,英语,2000-07-14(美国),104分钟,变种特攻,tt0120903,X战警豆瓣中文小站
和莎莫的500天,马克·韦布,斯科特·纽斯塔德/迈克尔·H·韦伯,约瑟夫·高登-莱维特/佐伊·丹斯切尔/吉奥弗瑞·阿伦德/科洛·莫瑞兹/马修·格雷·古柏勒/克拉克·格雷格/帕特里夏·贝尔彻/瑞秋·波士顿/敏卡·凯利/CharlesWalker/伊安·瑞德·科斯勒/维勒特·罗德里格斯/伊薇特·尼科尔·布朗/妮科尔·维丘什/麦丽·弗拉纳甘/SidWilner/理查德·麦克格纳格尔/让-保罗·维尼翁/苏比尔·阿祖尔/盖斯·卡尔/NadineEllis/TiffanyGranath/BrandonHenschel/莱克茜·休姆/JenniferLeeKeyes/蒂姆·拉卡特纳/RebeccaLin/AnthonyMarciona/RyanThomas/克里斯汀文森特/JullWeber/奥利维亚·霍华德·巴基/JosephButtler/AdamEmery/詹妮弗·赫特里克/迈克尔·贾斯蒂斯/KevinLeung/米歇尔·梅森/EllenThompson/裴蕾森特维恩/KathrynWeisbeck/JonMorganWoodward,剧情/喜剧/爱情,美国,英语/法语/瑞典语,2009-01-17(圣丹斯电影节)/2009-08-07(美国),95分钟,心跳(500)天(港)/恋夏(500日)(台)/初恋500天/与萨莫的500天/仲夏(500)天/500DaysofSummer,tt1022603,
勇士,加文·欧康诺,加文·欧康诺/安东尼·塔姆巴基斯,汤姆·哈迪/乔尔·埃哲顿/尼克·诺特/詹妮弗·莫里森/弗兰克·格里罗/凯文·杜恩,剧情/家庭/运动,美国,英语,2011-09-09(美国),140分钟,勇者无敌(台)/钢铁斗士(港)/武士/拳击勇士,tt1291584,
曾经,约翰·卡尼,约翰·卡尼,格伦·汉塞德/玛可塔·伊尔格洛娃,剧情/爱情/音乐,爱尔兰,英语/捷克语,2007-01-20(圣丹斯电影节)/2007-03-23(爱尔兰),86分钟,一奏倾情(港)/曾经。爱是唯一(台)/曾经拥有/一生的唯一/情难独奏(豆友译名)/宛似(豆友译名),tt0907657,
土拨鼠之日,哈罗德·雷米斯,哈罗德·雷米斯/丹尼·鲁宾,比尔·默瑞/安迪·麦克道威尔/克里斯·艾略特/斯蒂芬·托布罗斯基/布赖恩·道尔/瑞克·欧弗顿/威利·加森/安吉拉·佩顿/里克·杜科蒙/罗宾·杜克/肯·哈德森·坎贝尔/莱斯·波德威尔,剧情/喜剧/爱情/奇幻,美国,英语/法语/意大利语,1993-02-12(美国),101分钟,今天暂时停止(台)/偷天情缘/土拨鼠日/圣烛节/二月二日圣烛节,tt0107048,
叫我第一名,彼得·维纳,托马斯·里克曼,詹姆斯·沃克/特里特·威廉斯/多米尼克·斯科特·凯伊/莎拉·德鲁/凯瑟琳·约克/乔·克里斯特/帕翠西亚·希顿/约翰尼·帕卡/CharlesHenryWyson/CharlieFinn,剧情/传记,美国,英语,2008-12-07(美国),95分钟,站在教室前/讲台前的我/开放有爱/为人师者,tt1292594,
伴我同行,罗伯·莱纳,雷纳尔多·吉迪恩/布鲁斯·A·埃文斯/斯蒂芬·金,瑞凡·菲尼克斯/威尔·惠顿/科里·费尔德曼/杰瑞·奥康奈尔/约翰·库萨克/理查德·德莱弗斯/基弗·萨瑟兰,剧情/儿童/冒险,美国,英语,1986-08-08(美国),89分钟,与我常在/站在我这边/同仇敌忾,tt0092005,
玩具总动员2,约翰·拉塞特/艾什·布兰农/李·昂克里奇,约翰·拉塞特/彼特·道格特/艾什·布兰农/安德鲁·斯坦顿/萧丽塔/道格·钱伯林/克里斯·韦伯,汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/凯尔希·格兰莫/唐·里克斯/吉姆·法尼/华莱士·肖恩/约翰·拉岑贝格/安妮·波茨/韦恩·奈特/约翰·莫里斯/劳里·梅特卡夫/爱丝黛儿·哈里斯/李·厄米/裘蒂·班森,喜剧/动画/奇幻/冒险,美国,英语,1999-11-24(美国),92分钟,反斗奇兵2(港)/反斗奇兵续集/玩具的故事2,tt0120363,
情人,让-雅克·阿诺,让-雅克·阿诺/热拉尔·布拉什/玛格丽特·杜拉斯,珍·玛奇/梁家辉/FrédériqueMeininger/阿诺·乔瓦尼内蒂/梅尔维尔·珀波/丽萨·福克纳/让娜·莫罗/弗里德里克·奥伯汀,剧情/爱情/情色/传记,法国/英国/越南,英语/粤语,1992-01-22(法国)/1992-06-19(英国),115分钟,TheLover,tt0101316,
银翼杀手,雷德利·斯科特,汉普顿·范彻/大卫·韦伯·皮普尔斯/菲利普·迪克,哈里森·福特/鲁特格尔·哈尔/肖恩·杨/爱德华·詹姆斯·奥莫斯/M·埃梅特·沃尔什/达丽尔·汉纳/威廉·桑德森/布里翁·詹姆斯/乔·托克尔/乔安娜·卡西迪/吴汉章/摩根·保罗/凯文·汤普森,科幻/惊悚,美国/香港,英语/德语/粤语/日语/匈牙利语/阿拉伯语,1982-06-25(美国),117分钟,公元2020/叛狱追杀令/刀刃警探,tt0083658,
夏日大作战,细田守,奥寺佐渡子,神木隆之介/樱庭奈奈美/富司纯子/谷村美月/斋藤步/横川贵大/信泽三惠子/谷川清美/桐本拓哉/佐佐木睦/玉川纱己子/永井一郎/山像香/小林隆/田村高美/清水优/中村正/田中要次/金泽映子/中村桥弥/高久千草/板仓光隆/仲里依纱/安达直人/诸星堇/今井悠贵/太田力斗/皆川阳菜乃,喜剧/科幻/动画/家庭/冒险,日本,日语/英语,2009-08-01(日本),114分钟,夏日战争/夏日大战争/SummerWars,tt1474276,
逃出绝命镇,乔丹·皮尔,乔丹·皮尔,丹尼尔·卡卢亚/艾莉森·威廉姆斯/凯瑟琳·基纳/布莱德利·惠特福德/卡赖伯·兰德里·琼斯/马库斯·亨德森/贝蒂·加布里埃尔/勒凯斯·斯坦菲尔德/斯蒂芬·鲁特/里尔·莱尔·哈瓦瑞/艾希礼·勒孔特·坎贝尔/卡伦·L·拉基/朱莉·安·多恩/杰拉尔丁·辛格/理查德·赫德/埃里卡·亚历山大,悬疑/惊悚/恐怖,美国,英语,2017-01-23(圣丹斯电影节)/2017-02-24(美国),104分钟,访‧吓(港),tt5052448,
魔发奇缘,内森·格雷诺/拜伦·霍华德,雅各布·格林/威廉·格林/丹·福格尔曼,曼迪·摩尔/扎克瑞·莱维/唐纳·墨菲/朗·普尔曼/迈克·康纳·盖尼/杰弗里·塔伯/布拉德·加内特/保罗·F·汤普金斯/理查德·基尔/德莱尼·罗斯·斯坦/内森·格雷诺/拜伦·霍华德/蒂姆·梅尔滕斯,喜剧/动画/冒险,美国,英语,2010-11-24(美国)/2011-02-03(台湾),100分钟,长发公主/长发姑娘/莴苣公主/缠结,tt0398286,
哈利·波特与混血王子,大卫·叶茨,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/汤姆·费尔顿/迈克尔·刚本/艾伦·瑞克曼/邦妮·怀特/朱丽·沃特斯/海伦娜·伯翰·卡特/吉姆·布劳德本特/玛吉·史密斯/伊文娜·林奇,剧情/奇幻/冒险,英国/美国,英语,2009-07-15(中国大陆)/2009-07-06(英国),153分钟,哈利波特6：混血王子的背叛(港/台)/哈6/HPandtheHBP,tt0417741,
蜘蛛侠,山姆·雷米,大卫·凯普/斯坦·李/史蒂夫·迪特寇,托比·马奎尔/威廉·达福/克斯汀·邓斯特/詹姆斯·弗兰科/克里夫·罗伯逊/罗斯玛丽·哈里斯/J·K·西蒙斯/乔·曼根尼罗/格里·贝克尔/比尔·努恩/杰克·贝茨/斯坦利·安德森/罗恩·帕金斯/迈克尔·帕帕约翰/布鲁斯·坎贝尔,动作/科幻/冒险,美国,英语,2002-08-07(中国大陆)/2002-05-03(美国),121分钟,蜘蛛人,tt0145487,
笑傲江湖2：东方不败,程小东,徐克/邓碧燕/陈天璇,李连杰/林青霞/关之琳/李嘉欣/李子雄/余安安/袁洁莹/刘洵/任世官/钱嘉乐,剧情/爱情/武侠/古装,香港,粤语,1992-06-26(香港),107分钟,笑傲江湖之东方不败/Swordsman2,tt0103295,
智取威虎山,徐克,黄建新/李杨/徐克/吴兵/董哲/林启安,张涵予/梁家辉/林更新/余男/佟丽娅/韩庚/陈晓/谢苗/吴旭东/杜奕衡/海一天/张立/释彦能/孙蛟龙/程思寒/元武/肖轶/王尧/杨一威,剧情/动作/战争/冒险,中国大陆/香港,汉语普通话/英语,2014-12-23(中国大陆),141分钟,智取威虎山3D/林海雪原3D/TheTakingofTigerMountain/TracksinTheSnowyForest,tt3950078,
赛德克·巴莱,魏德圣,魏德圣,林庆台/马志翔/安藤政信/河原萨布/徐诣帆/温岚/罗美玲/徐若瑄/游大庆/林源杰,剧情/历史/战争,台湾,赛德克语/闽南语/日语,2012-05-10(中国大陆),153分钟(中国大陆/国际版),赛德克·巴莱(上下)合集/赛德克·巴莱剪辑版/真正的人/WarriorsoftheRainbow:SeediqBale,,
百万美元宝贝,克林特·伊斯特伍德,F·X·图尔/保罗·哈吉斯,克林特·伊斯特伍德/希拉里·斯万克/摩根·弗里曼/杰伊·巴鲁切尔/麦克·柯尔特/露西娅瑞科尔/布莱恩·F·奥博恩/安东尼·麦凯/玛格·马丁戴尔/瑞琪·琳德赫姆/迈克尔·佩纳/本尼托·马丁内斯/BruceMacVittie/DavidPowledge/乔·达安格里奥,剧情/运动,美国,英语/爱尔兰盖尔语,2004-12-15(美国),132分钟,百万宝贝/百万金婴/登峰造击/击情/RopeBurns,tt0405159,
芝加哥,罗伯·马歇尔,比尔·康顿/鲍勃·福斯/弗雷德·埃布/莫里纳·达拉斯·沃特金斯,蕾妮·齐薇格/凯瑟琳·泽塔-琼斯/理查·基尔/奎恩·拉提法/约翰·C·赖利/刘玉玲/泰雅·迪格斯/克里斯汀·芭伦斯基/多米尼克·威斯特/杰恩·伊斯特伍德,喜剧/歌舞/犯罪,美国/德国,英语/匈牙利语,2002-12-27(美国),113分钟,漫舞芝加哥,tt0299658,
海洋之歌,汤姆·摩尔,汤姆·摩尔/威尔·柯林斯,大卫·罗尔/布莱丹·格里森/丽莎·汉尼根/菲奥纽拉·弗拉纳根/露西·奥康奈尔/乔·肯尼/帕特·绍特/科姆·Ó·斯诺代格/利亚姆·霍里卡恩/凯文·斯耶斯卡斯/威尔·柯林斯/保罗·杨,剧情/动画/冒险,爱尔兰/丹麦/比利时/卢森堡/法国,英语/爱尔兰语/苏格兰盖尔语,2016-08-12(中国大陆)/2014-09-06(多伦多电影节)/2015-07-10(爱尔兰),93分钟/94分钟(中国大陆),海洋幻想曲(台)/LeChantdelaMer,tt1865505,
宝莲灯,常光希,王大为,姜文/徐帆/宁静/陈佩斯/崔杰/丁嘉丽/江平/雷恪生/梁天/马精武/马羚/马晓晴,动画,中国大陆,汉语普通话,1999-07-30(中国大陆),85分钟,LotusLantern,tt0262264,
春宵苦短，少女前进吧！,汤浅政明,上田诚/森见登美彦,星野源/花泽香菜/神谷浩史/中井和哉/甲斐田裕子/吉野裕行/秋山龙次/新妻圣子/诹访部顺一/悠木碧/小清水亚美/本多力/中冈创一/家中宏/中博史/滨野大辉/今村一志洋/虎岛贵明/落合福嗣/广濑裕也/菊地美香/内藤有海/野口百合/桧山修之/山路和弘/麦人,喜剧/爱情/动画/奇幻,日本,日语,2017-04-07(日本),93分钟,"夜短梦长，少女前进吧！(港)/TheNightisShort,WalkonGirl",tt6335734,
