电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
一条狗的使命,拉斯·霍尔斯道姆,W·布鲁斯·卡梅伦/凯瑟琳·迈克/奥黛丽·威尔斯/玛雅·福布斯/沃利·亚历斯戴尔,乔什·加德/布丽特·罗伯森/丹尼斯·奎德/佩吉·利普顿/K·J·阿帕/布莱斯·吉扎尔/朱丽叶·赖伦斯/卢克·科比/加布里埃尔·罗斯/迈克尔·博夫舍维尔/洛根·米勒/柯尔比·豪威尔-巴普蒂斯特/普奇·豪尔/约翰·奥提兹/妮科尔·勒普拉卡/彼特·科拉米斯/卡罗琳·凯芙/简·迈克格雷格/科维西·阿梅扬/卡琳·博姆拜克/娜奥米·弗伦内特,剧情/喜剧/家庭,美国,英语,2017-03-03(中国大陆)/2017-01-27(美国),101分钟,为了与你相遇(台)/再见亦是狗朋友(港),tt1753383,
超人总动员,布拉德·伯德,布拉德·伯德,格雷格·T·尼尔森/霍利·亨特/塞缪尔·杰克逊/杰森·李/泰迪·牛顿/华莱士·肖恩,喜剧/动作/动画/冒险,美国,英语/西班牙语/法语,2005-01-28(中国大陆)/2004-11-05(美国),115分钟,超人特攻队/超人家族/超人特工队,tt0317705,
怪兽大学,丹·斯坎隆,罗伯特·L·贝尔德/丹尼尔·吉尔森/丹·斯坎隆,比利·克里斯托/约翰·古德曼/史蒂夫·布西密/海伦·米伦/彼得·孙/乔尔·默里/西恩·海耶斯/大卫·弗利/查理·戴/阿尔弗雷德·莫里纳/泰勒·莱伯恩/内森·菲利安/奥布瑞·普拉扎/贝丝·比厄/鲍比·莫尼汉/朱丽亚·斯维尼,喜剧/动画/冒险,美国,英语,2013-08-23(中国大陆)/2013-06-21(美国),104分钟,怪兽电力公司2：怪兽大学/怪物公司2：怪物大学/怪兽公司2/怪物公司2/MonstersInc.2,tt1453405,《怪兽大学》官方小站
解救吾先生,丁晟,丁晟,刘德华/刘烨/吴若甫/王千源/林雪/赵小锐/李梦/蔡鹭/陆彭/余皑磊,剧情/犯罪,中国大陆,汉语普通话,2015-09-30(中国大陆)/2015-09-26(丝绸之路电影节),106分钟,最强对手/SavingMr.Wu,tt4819560,
廊桥遗梦,克林特·伊斯特伍德,理查德·拉·格拉文斯/罗伯特·杰姆斯·沃勒,克林特·伊斯特伍德/梅丽尔·斯特里普/安妮·科利/维克多·斯勒扎克/吉姆·海尼/莎拉·凯瑟琳·施密特/克里斯托·弗克朗/菲利斯·里昂斯/戴布拉·莫克,剧情/爱情,美国,英语,1995-06-02(美国),135分钟,麦迪逊之桥(港/台),tt0112579,
小姐,朴赞郁,郑瑞景/朴赞郁/莎拉·沃特丝,金敏喜/金泰梨/河正宇/赵震雄/金海淑/文素丽,剧情/悬疑/同性,韩国,韩语/日语,2016-05-14(戛纳电影节)/2016-06-01(韩国),145分钟/168分钟(加长版),下女诱罪(港)/下女的诱惑(台)/指匠情挑/TheHandmaiden,tt4016934,
催眠大师,陈正道,任鹏/陈正道,徐峥/莫文蔚/胡静/吕中/王耀庆/杨凯迪,剧情/悬疑/惊悚,中国大陆,汉语普通话,2014-04-29(中国大陆),104分钟,催眠档案之彻夜未眠/TheGreatHypnotist,tt3720058,
罗曼蒂克消亡史,程耳,程耳,葛优/章子怡/浅野忠信/杜淳/钟欣潼/倪大红/赵宝刚/袁泉/闫妮/韩庚/霍思燕/杜江/王传君/钟汉良/马晓伟/吕行/乔笑笑/刘天阳/赵海涛/叶禾/周敬峰/杨露璐/松峰莉璃/松浦敬之/平田康之/张晓龙/郭晓小/小黑,剧情/动作/悬疑,中国大陆/香港,汉语普通话/上海话/日语/英语,2016-12-16(中国大陆),125分钟,旧社会/浮生如梦/TheWastedTimes,tt4623812,
如父如子,是枝裕和,是枝裕和,福山雅治/尾野真千子/真木阳子/中川雅也/风吹淳/国村隼/树木希林/夏八木勋/井浦新/二宫庆多/黄升炫,剧情/家庭,日本,日语,2013-09-28(日本),120分钟,"谁调换了我的父亲(港)/我的意外爸爸(台)/有其父必有其子/然后变成爸爸/LikeFather,LikeSon/TelPère,TelFils/SoshiteChichiNiNaru",tt2331143,
金福南杀人事件始末,张哲洙,张哲洙,徐英姬/池成媛/朴政学/白秀莲/黄民浩/제민/李芝恩/蔡诗贤/裴成友,剧情/惊悚/犯罪,韩国,韩语,2010-09-02(韩国),116分钟,炼狱岛(台)/金福男杀人事件始末/Bedevilled,tt1646959,
暗战,杜琪峰,朱连·卡邦/劳伦特·考蒂奥德/游乃海,刘德华/刘青云/蒙嘉慧/李子雄/许绍雄/林雪/黄卓玲/林伟健/罗永昌,剧情/动作/犯罪,香港,粤语,1999-09-23(香港),93分钟,谈判专家(台)/RunningOutofTime,tt0216165,
美女与野兽,加里·特洛斯达勒/柯克·维斯,琳达·伍尔芙顿/罗杰·阿勒斯/布兰达∙查普曼/伯尼·马丁森/布瑞恩·皮门托尔/乔·兰福特/凯利·阿斯博瑞/克里斯·桑德斯/凯文·哈基/布鲁斯·伍德赛德/汤姆·埃勒里/罗伯特·伦塞,佩吉·奥哈拉/罗比·本森/理查德·怀特/杰里·奥尔巴赫/戴维·奥格登·施蒂尔斯/安吉拉·兰斯伯瑞/布莱德利·皮尔斯/雷克斯·埃弗哈特/杰西·科尔蒂/哈尔·史密斯/乔·安妮·沃利/玛丽·凯·伯格曼/布瑞恩·卡明斯/阿尔文·爱泼斯坦/托尼·杰/亚历克·墨菲/金米·罗伯特森/凯斯·索西/弗兰克·维尔克,喜剧/爱情/动画/歌舞/奇幻,美国,英语/法语,1991-09-29(纽约电影节)/1991-11-22(美国)/2012-01-13(美国),84分钟/91分钟(特别版),美女与野兽3D,tt0101414,
功夫熊猫3,吕寅荣/亚历山德罗·卡罗尼,乔纳森·阿贝尔/格伦·伯杰,杰克·布莱克/布莱恩·科兰斯顿/达斯汀·霍夫曼/安吉丽娜·朱莉/J·K·西蒙斯/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/凯特·哈德森/吴汉章/兰德尔·杜克·金/尚格·云顿/斯蒂尔·加尼翁/利亚姆·奈特/韦恩·奈特/芭芭拉·迪里克森/阿尔·罗克/威利·盖斯特/弗雷德·塔特西奥/迈克·米切尔/凯莉·库尼/斯蒂芬·凯林/米克·温格特/蔡明昊/艾普尔·洪/帕克斯·朱莉-皮特/诺克斯·朱莉-皮特/扎哈拉·朱莉-皮特/希洛·朱莉-皮特,喜剧/动作/动画/冒险,美国/中国大陆,英语,2016-01-29(美国/中国大陆),95分钟,熊猫阿宝3/阿宝正传3,tt2267968,
