电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
脱单告急,柯孟融,任鹏,董子健/钟楚曦/春夏/袁福福/靳锦/尹雨航/吴昱瑶/刘梦梦/郗婧妍,喜剧/爱情,中国大陆,汉语普通话,2018-04-20(中国大陆)/2018-04-15(北京国际电影节),106分钟,完全男生手册/Dude'sManual,tt8319694
秘果,连奕琦,饶雪漫,陈飞宇/欧阳娜娜/邹元清/张诚航/欧豪/米咪/咏梅/曹卫宇/张瑶,爱情,中国大陆,汉语普通话,2017-07-07(中国大陆),99分钟,SecretFruit,tt7726702
跨越8年的新娘,濑濑敬久,冈田惠和,佐藤健/土屋太凤/北村一辉/浜野谦太/中村友理/堀部圭亮/古馆宽治/杉本哲太/药师丸博子,剧情/爱情,日本,日语,2018-10-19(中国大陆)/2017-12-16(日本),119分钟,跨越八年的新娘,tt6313348
最终幻想女孩,大九明子,大九明子/绵矢莉莎,松冈茉优/渡边大知/石桥杏奈/北村匠海/古馆宽治/片桐入,爱情,日本,日语,2017-10-30(东京电影节)/2017-12-23(日本),117分钟,被爱妄想症(台)/不想恋爱/请你肆意颤抖/TrembleAllYouWant,tt6782708
在切瑟尔海滩上,多米尼克·库克,伊恩·麦克尤恩,西尔莎·罗南/艾米丽·沃森/安-玛莉·杜芙/萨缪尔·韦斯特/比利·豪尔/阿德里安·斯卡伯勒/碧碧·凯芙/拉斯穆斯·哈迪克/琼乔·奥雷尔/勃朗特·卡迈克尔/伯纳多·桑托斯/戴维·奥拉瓦莱·阿印德/泰·赫尔利/克莱尔·阿什顿/朵拉·布莱恩/罗伯特·斯蒂芬斯/丽塔·塔欣厄姆,剧情/爱情,英国,英语,2017-09-07(多伦多电影节)/2018-05-18(英国),105分钟,爱，留在海滩那一天(台),tt1667321
方法派,方银振,方银振/闵艺智,朴圣雄/吴承勋/尹胜雅/柳泰浩/金凡俊/李民雄,剧情/爱情/同性,韩国,韩语,2017-10-13(釜山电影节)/2017-11-02(韩国),82分钟,方法/愛的方法論(台)/Method,tt7022402
李雷和韩梅梅,杨永春,肖李任颐/杨永春/陈林/骆平,张子枫/张逸杰/成梓宁/李砚/常铖/王旭东/张诚航/苗皓钧/花希/马泽涵/应亦涵/朱子岩/李扬/郝平/王菁华/塞拉斯·列维·纽豪斯,剧情/喜剧/爱情,中国大陆,汉语普通话,2017-06-09(中国大陆),90分钟,李雷和韩梅梅之昨日重现/HowAreYou,
一日情人,菲利普·加瑞尔,菲利普·加瑞尔/让-克洛德·卡里埃/卡罗利娜·德吕亚-加雷尔/阿莱特·朗曼,埃里克·卡拉瓦卡/艾斯特·加瑞尔/露易丝·谢维洛特/保罗·图坎格/费利克斯·基赛勒/米歇尔·查瑞尔/克里斯蒂安·布耶特,剧情/爱情,法国,法语,2017-05-19(戛纳电影节)/2017-05-31(法国),76分钟,是日恋人(台)/每日情人/OneDayLover/LoverforaDay,tt5642124
夜以继日,滨口龙介,田中幸子/滨口龙介/柴崎友香,东出昌大/唐田英里佳/濑户康史/山下莉绪/伊藤沙莉/渡边大知/仲本工事/田中美佐子,剧情/爱情,日本/法国,日语,2018-05-14(戛纳电影节)/2018-09-01(日本),119分钟,睡了也好，醒来也好(港)/睡着吻别，醒来抱拥(港)/睡着也好醒来也罢(台)/睡着吻别醒来抱拥/不论睡着或醒着/Netemosametemo/AsakoI&II,tt7112154
致所有我曾爱过的男孩,苏珊·约翰逊,索菲娅·阿尔瓦雷斯/珍妮·汉,拉娜·康多/诺亚·琴蒂内奥/伊瑟尔·布罗萨德/贾娜尔·帕里希/安娜·卡思卡特/安德鲁·巴切勒/特雷佐·马霍洛/玛德琳娜·亚瑟/埃米利娅·巴拉纳茨/约翰·考伯特/凯尔西·马韦马/朱莉娅·本森/乔伊·帕切科/乔丹·伯切特/琼·B·王尔德/伊莎贝尔·比奇/亨特·狄龙/克里斯蒂安·迈克尔·库珀/里斯·弗菜明/帕维尔·皮多克/杰布·比奇/CameronCrosby/耶尔·雅曼,爱情,美国,英语,2018-08-17(美国),99分钟,爱的过去进行式(台),tt3846674
爱在记忆消逝前,保罗·维尔齐,弗朗西斯·皮克罗/弗兰切斯卡·阿尔基布吉/保罗·维尔齐/MichaelZadoorian/斯蒂芬·阿米登,海伦·米伦/唐纳德·萨瑟兰/简·默勒尼/克里斯蒂·米切尔/罗伯特·沃克·布兰乔德/克里斯蒂安·麦凯/约书亚·胡佛/罗伯特·普拉尔戈/约书亚·米克尔,喜剧/爱情/冒险,意大利/法国,英语,2018-02-23(中国大陆)/2017-09-03(威尼斯电影节)/2018-01-25(意大利),112分钟,人生无限露营车(台)/爱在记忆消失前/浮生偷闲/求闲者/Ella&John-TheLeisureSeeker,tt3741632
21克拉,何念,马天/李扬/何念,郭京飞/迪丽热巴/大鹏/包贝尔/刘芮麟/王厂长/张钟仪/榕榕/张杨智子,喜剧/爱情,中国大陆,汉语普通话,2018-04-20(中国大陆),96分钟,21Karat/21Carats,tt8320654
昨日青空,奚超,,苏尚卿/王一博/段艺璇/马斑马/慧明,爱情/动画,中国大陆,汉语普通话,2018-10-26(中国大陆),82分钟,CrystalSkyofYesterday,tt8161726
悲伤逆流成河,落落,落落/郭敬明,赵英博/任敏/辛云来/章若楠/朱丹妮,剧情/爱情,中国大陆,汉语普通话,2018-09-21(中国大陆),104分钟,悲伤逆流成河电影版/CryMeaSadRiver,tt9036926
昼颜,西谷弘,井上由美子,上户彩/斋藤工/伊藤步/平山浩行/黑泽明日香/萩原实里/志贺广太郎/三浦诚己/涩川清彦/松居大悟/中村育二,剧情/爱情,日本,日语,2018-05-18(中国大陆)/2017-06-10(日本),125分钟,昼颜电影版/Hirugao/Hirugao:LoveAffairsintheAfternoon,tt6106802
一吻定情,陈玉珊,曾咏婷/黄继柔,王大陆/林允/陈柏融/蔡思韵/邰智源/李铭顺/钟丽缇/郭书瑶,喜剧/爱情,中国大陆,汉语普通话,2019-02-14(中国大陆),122分钟,淘气小亲亲/恶作剧之吻/我的少女时代2/FallinLoveatFirstKiss,tt9657764
我想吃掉你的胰脏,牛岛新一郎,牛岛新一郎,高杉真宙/Lynn/藤井雪代/内田雄马/福岛润/田中敦子/三木真一郎,爱情/动画,日本,日语,2019-01-18(中国大陆)/2018-09-01(日本),108分钟,我想吃掉你的胰脏动画版/IWanttoEatYourPancreas/LetMeEatYourPancreas,tt7236034
冷战,帕维乌·帕夫利科夫斯基,雅努什·格沃瓦茨基/帕维乌·帕夫利科夫斯基,尤安娜·库里克/托马斯·科特/波利斯·席克/阿伽塔·库莱沙/塞德里克·康/让娜·巴利巴尔/亚当·费仁希/亚当·沃诺维茨/亚当·斯齐斯科斯基,剧情/爱情/音乐,波兰/法国/英国,波兰语/法语/德语/克罗地亚语/意大利语/俄语,2018-05-10(戛纳电影节)/2018-06-08(波兰),88分钟,没有烟硝的爱情(台)/冷战恋曲(港)/ColdWar,tt6543652
动物之家婚礼记,安东尼·寇迪耶,安东尼·寇迪耶/朱莉·皮耶尔/娜塔丽·纳杰姆,费利克斯·莫阿蒂/利蒂希亚·多施/克丽丝塔·特瑞特/玛琳娜·佛伊丝/约翰·海尔登贝格/纪尧姆·谷伊/埃洛迪·布歇/艾尔莎霍本,喜剧/爱情,法国/比利时,法语,2017-10-23(波尔多独立影展)/2018-01-31(法国),105分钟,阿宝动物一族(台)/GaspardattheWedding,tt5729818
如影随心,霍建起,霍建起,陈晓/杜鹃/王嘉/马苏/华少/谢依霖/关晓彤/高晓攀/赵震/庞奕欣/侯佳伟/王毅凡,剧情/爱情,中国大陆,汉语普通话,2019-04-19(中国大陆),96分钟,可遇可求/Lostinlove,tt10126628
