电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
逆时营救,尹鸿承,査慕春,杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹,动作/科幻,中国大陆,汉语普通话,2017-06-29(中国大陆)/2017-06-19(上海电影节),106分钟,致命倒数/FatalCountdown:Reset/Reset,tt5342650
绝世高手,卢正雨,卢正雨/赵英俊/冷旭阳/果晓丹,卢正雨/郭采洁/范伟/蔡国庆/陈冲/仓田保昭/孔连顺/黄龄/杨迪/柯达/艾伦/赵英俊/魏翔/汪聪/何蓝逗,喜剧/动作,中国大陆,汉语普通话,2017-07-07(中国大陆)/2017-06-22(上海电影节),116分钟,绝世高手之料理铁人/TheOne,tt7121588
叶问外传：张天志,袁和平,黄子桓/陈大利,张晋/戴夫·巴蒂斯塔/柳岩/杨紫琼/托尼·贾/郑嘉颖/周秀娜/谭耀文/释彦能/姜皓文/栢天男/元华,剧情/动作/犯罪,中国大陆/香港,汉语普通话/粤语,2018-12-21(中国大陆)/2018-10-13(釜山电影节),107分钟,张天志/张天志传/叶问外传/叶问系列之张天志/IPManSideStory:CheungTinChi/MasterZ:IpManLegacy,tt7262882
黄金兄弟,钱嘉乐,金东圭/郭建乐/李敏/麦曦茵/陈淑贤/张之彦,郑伊健/陈小春/谢天华/钱嘉乐/林晓峰/曾志伟/佘诗曼/张雅玫/吴永伦,动作/犯罪,中国大陆,粤语/汉语普通话,2018-09-21(中国大陆)/2018-09-20(香港),99分钟,黄金七十二小时/新古惑仔/新版古惑仔/GoldenJob,tt7521990
龙虾刑警,李昕芸,范氿维/鹿迅,王千源/袁姗姗/刘桦/周游/周云鹏/张锦程/沈腾,喜剧/动作/犯罪,中国大陆,汉语普通话,2018-06-22(中国大陆),93分钟,LobsterCop,tt8489090
祖宗十九代,郭德纲,郭德纲/陈璧瑜,岳云鹏/吴京/吴秀波/井柏然/林志玲/王宝强/大鹏/吴君如/李晨/杜淳/郑恺/欧弟/张国立/贾乃亮/张俪/马苏/萧敬腾/汪东城/于谦/黄磊/吴樾/孙艺洲/贾玲/谢依霖/孟非/郭麒麟/谢楠/王小利/张晨光/刘蓓/孙越,喜剧/奇幻,中国大陆,汉语普通话,2018-02-16(中国大陆),95分钟,TheFacesofMyGene,tt8443556
如影随心,霍建起,霍建起,陈晓/杜鹃/王嘉/马苏/华少/谢依霖/关晓彤/高晓攀/赵震/庞奕欣/侯佳伟/王毅凡,剧情/爱情,中国大陆,汉语普通话,2019-04-19(中国大陆),96分钟,可遇可求/Lostinlove,tt10126628
南极之恋,吴有音,吴有音,赵又廷/杨子姗,爱情/冒险,中国大陆,汉语普通话,2018-02-01(中国大陆),117分钟,南极绝恋/TilltheEndoftheWorld,tt7962598
奇门遁甲,袁和平,徐克/魏君子/杨秉佳/许少飞,大鹏/倪妮/李治廷/周冬雨/伍佰/柳岩/许明虎/杨一威/谢苗/孙明明/黄晓明,动作/奇幻,中国大陆/香港,汉语普通话,2017-12-14(中国大陆),113分钟,TheThousandFacesofDunjia,tt6814080
十万个冷笑话2,卢恒宇/李姝洁,卢恒宇/李姝洁/寒舞/隋佳林/高信影/赵聪,山新/郝祥海/李姝洁/藤新/图特哈蒙/李佳怡/佟心竹/九孔/卢恒宇/宝木中阳,喜剧/动画/奇幻,中国大陆,汉语普通话,2017-08-18(中国大陆),101分钟,十冷2/OneHundredThousandBadJokesII,tt7490280
