:START_ID,:END_ID,relation,:TYPE
10277,30013,类型,类型
10278,30015,类型,类型
10278,30007,类型,类型
10278,30013,类型,类型
10279,30013,类型,类型
10280,30007,类型,类型
10280,30013,类型,类型
10281,30007,类型,类型
10281,30013,类型,类型
10282,30024,类型,类型
10282,30018,类型,类型
10282,30013,类型,类型
10282,30010,类型,类型
10283,30007,类型,类型
10283,30013,类型,类型
10284,30013,类型,类型
10285,30007,类型,类型
10285,30013,类型,类型
10286,30016,类型,类型
10286,30013,类型,类型
10287,30015,类型,类型
10287,30007,类型,类型
10287,30013,类型,类型
10288,30013,类型,类型
10289,30015,类型,类型
10289,30007,类型,类型
10289,30013,类型,类型
10290,30007,类型,类型
10290,30013,类型,类型
10291,30002,类型,类型
10291,30026,类型,类型
10291,30013,类型,类型
10292,30013,类型,类型
10293,30024,类型,类型
10293,30013,类型,类型
10294,30015,类型,类型
10294,30007,类型,类型
10294,30013,类型,类型
10295,30026,类型,类型
10295,30013,类型,类型
10295,30009,类型,类型
10296,30007,类型,类型
10296,30013,类型,类型
10297,30002,类型,类型
10297,30015,类型,类型
10297,30013,类型,类型
10298,30007,类型,类型
10298,30013,类型,类型
10299,30016,类型,类型
10299,30013,类型,类型
10300,30015,类型,类型
10300,30007,类型,类型
10300,30013,类型,类型
10301,30024,类型,类型
10301,30026,类型,类型
10301,30013,类型,类型
10301,30029,类型,类型
10302,30007,类型,类型
10302,30013,类型,类型
10303,30007,类型,类型
10303,30013,类型,类型
10304,30002,类型,类型
10304,30007,类型,类型
10304,30013,类型,类型
10305,30015,类型,类型
10305,30007,类型,类型
10305,30013,类型,类型
10306,30002,类型,类型
10306,30013,类型,类型
10306,30004,类型,类型
10307,30002,类型,类型
10307,30007,类型,类型
10307,30013,类型,类型
10308,30015,类型,类型
10308,30013,类型,类型
10309,30013,类型,类型
10310,30013,类型,类型
10311,30015,类型,类型
10311,30007,类型,类型
10311,30013,类型,类型
10312,30013,类型,类型
10313,30002,类型,类型
10313,30007,类型,类型
10313,30013,类型,类型
10314,30007,类型,类型
10314,30013,类型,类型
10315,30015,类型,类型
10315,30007,类型,类型
10315,30013,类型,类型
10316,30007,类型,类型
10316,30013,类型,类型
10316,30009,类型,类型
10317,30015,类型,类型
10317,30007,类型,类型
10317,30013,类型,类型
10318,30007,类型,类型
10318,30013,类型,类型
10319,30007,类型,类型
10319,30013,类型,类型
10320,30007,类型,类型
10320,30013,类型,类型
10321,30013,类型,类型
10322,30013,类型,类型
10322,30009,类型,类型
10323,30013,类型,类型
10324,30006,类型,类型
10324,30013,类型,类型
10324,30009,类型,类型
10325,30015,类型,类型
10325,30007,类型,类型
10325,30013,类型,类型
10326,30007,类型,类型
10326,30013,类型,类型
10327,30024,类型,类型
10327,30013,类型,类型
10327,30004,类型,类型
10328,30013,类型,类型
10328,30009,类型,类型
10329,30015,类型,类型
10329,30007,类型,类型
10329,30013,类型,类型
10330,30007,类型,类型
10330,30013,类型,类型
10331,30002,类型,类型
10331,30013,类型,类型
10331,30009,类型,类型
10332,30013,类型,类型
10333,30007,类型,类型
10333,30013,类型,类型
10334,30007,类型,类型
10334,30013,类型,类型
10335,30015,类型,类型
10335,30007,类型,类型
10335,30013,类型,类型
10336,30013,类型,类型
10337,30016,类型,类型
10337,30013,类型,类型
10337,30009,类型,类型
10337,30029,类型,类型
10338,30013,类型,类型
10339,30002,类型,类型
10339,30013,类型,类型
10340,30007,类型,类型
10340,30013,类型,类型
10341,30007,类型,类型
10341,30013,类型,类型
10342,30013,类型,类型
10343,30013,类型,类型
10344,30016,类型,类型
10344,30013,类型,类型
10345,30007,类型,类型
10345,30013,类型,类型
10346,30024,类型,类型
10346,30013,类型,类型
10347,30013,类型,类型
10348,30007,类型,类型
10348,30013,类型,类型
10349,30024,类型,类型
10349,30007,类型,类型
10349,30013,类型,类型
10351,30007,类型,类型
10351,30013,类型,类型
10352,30016,类型,类型
10352,30013,类型,类型
10353,30007,类型,类型
10353,30013,类型,类型
10354,30002,类型,类型
10354,30018,类型,类型
10354,30013,类型,类型
10355,30016,类型,类型
10355,30013,类型,类型
10355,30012,类型,类型
10356,30018,类型,类型
10356,30015,类型,类型
10356,30013,类型,类型
10357,30016,类型,类型
10357,30013,类型,类型
10358,30002,类型,类型
10358,30015,类型,类型
10358,30007,类型,类型
10358,30013,类型,类型
10359,30013,类型,类型
10360,30013,类型,类型
10361,30016,类型,类型
10361,30013,类型,类型
10362,30007,类型,类型
10362,30013,类型,类型
10363,30013,类型,类型
10364,30016,类型,类型
10364,30024,类型,类型
10364,30013,类型,类型
10365,30002,类型,类型
10365,30013,类型,类型
10365,30009,类型,类型
10366,30024,类型,类型
10366,30018,类型,类型
10366,30013,类型,类型
10367,30013,类型,类型
10368,30013,类型,类型
10369,30016,类型,类型
10369,30013,类型,类型
10370,30007,类型,类型
10370,30013,类型,类型
10371,30002,类型,类型
10371,30013,类型,类型
10371,30009,类型,类型
10372,30007,类型,类型
10372,30013,类型,类型
10372,30004,类型,类型
10373,30002,类型,类型
10373,30013,类型,类型
10373,30009,类型,类型
10374,30007,类型,类型
10374,30013,类型,类型
10375,30018,类型,类型
10375,30013,类型,类型
10376,30013,类型,类型
10377,30007,类型,类型
10377,30013,类型,类型
10378,30013,类型,类型
10379,30002,类型,类型
10379,30007,类型,类型
